fiscal_code;final_rank;evaluation_date;is_consolidated
00002070324;8;01/07/2018;False
00002070324;9;01/07/2019;False
00007080369;7;01/07/2016;True
00007080369;7;01/07/2017;True
00007080369;8;01/07/2018;True
00007080369;8;01/07/2019;True
00007470933;4;01/07/2016;False
00007470933;5;01/07/2017;False
00007470933;5;01/07/2018;False
00007470933;5;01/07/2019;False
00008980328;1;01/07/2016;False
00008980328;1;01/07/2017;False
00008980328;1;01/07/2018;False
00008980328;1;01/07/2019;False
00009840315;8;01/07/2016;False
00009840315;8;01/07/2017;False
00009840315;9;01/07/2018;False
00009840315;9;01/07/2019;False
00012670303;6;01/07/2016;False
00012670303;6;01/07/2017;False
00012670303;7;01/07/2018;False
00012670303;6;01/07/2019;False
00018160309;5;01/07/2016;False
00018160309;4;01/07/2017;False
00018160309;5;01/07/2018;False
00018160309;2;01/07/2019;False
00019410307;1;01/07/2016;False
00019410307;1;01/07/2017;False
00019410307;1;01/07/2018;False
00019410307;1;01/07/2019;False
00025330937;6;01/07/2016;False
00025330937;6;01/07/2017;False
00025330937;6;01/07/2018;False
00025330937;7;01/07/2019;False
00027030931;0;01/07/2016;False
00027030931;0;01/07/2017;False
00027030931;0;01/07/2018;False
00027030931;0;01/07/2019;False
00027730316;5;01/07/2018;False
00027730316;5;01/07/2019;False
00028470326;1;01/07/2016;False
00028470326;1;01/07/2017;False
00028470326;1;01/07/2018;False
00028470326;1;01/07/2019;False
00030280267;7;01/07/2016;False
00030280267;9;01/07/2017;False
00030280267;8;01/07/2018;False
00030280267;7;01/07/2019;False
00030810311;5;01/07/2016;False
00030810311;5;01/07/2017;False
00030810311;5;01/07/2018;False
00030810311;4;01/07/2019;False
00031070311;3;01/07/2016;False
00031070311;4;01/07/2017;False
00031070311;4;01/07/2018;False
00031070311;4;01/07/2019;False
00034360305;8;01/07/2019;False
00037070323;1;01/07/2016;False
00037070323;1;01/07/2017;False
00037070323;1;01/07/2018;False
00037070323;1;01/07/2019;False
00039490313;8;01/07/2017;False
00039490313;8;01/07/2018;False
00039490313;8;01/07/2019;False
00039970314;1;01/07/2016;False
00039970314;1;01/07/2017;False
00039970314;1;01/07/2018;False
00039970314;1;01/07/2019;False
00040190308;5;01/07/2016;False
00040190308;5;01/07/2017;False
00040190308;5;01/07/2018;False
00040190308;5;01/07/2019;False
00040220311;6;01/07/2016;False
00040220311;6;01/07/2017;False
00040220311;6;01/07/2018;False
00040220311;6;01/07/2019;False
00040980310;2;01/07/2016;False
00040980310;7;01/07/2017;False
00040980310;7;01/07/2018;False
00040980310;3;01/07/2019;False
00040990319;8;01/07/2016;False
00040990319;4;01/07/2017;False
00040990319;6;01/07/2018;False
00040990319;7;01/07/2019;False
00041170317;2;01/07/2016;False
00041170317;2;01/07/2017;False
00041170317;1;01/07/2018;False
00041170317;1;01/07/2019;False
00041560319;5;01/07/2016;False
00041560319;1;01/07/2017;False
00041560319;1;01/07/2018;False
00041560319;1;01/07/2019;False
00041640319;8;01/07/2016;False
00041640319;8;01/07/2017;False
00041640319;8;01/07/2018;False
00041640319;8;01/07/2019;False
00042030312;5;01/07/2016;False
00042030312;5;01/07/2017;False
00042030312;5;01/07/2018;False
00042030312;5;01/07/2019;False
00044700326;6;01/07/2016;False
00044700326;6;01/07/2017;False
00044700326;9;01/07/2018;False
00044700326;8;01/07/2019;False
00044740322;4;01/07/2016;False
00044740322;5;01/07/2017;False
00044740322;5;01/07/2018;False
00044740322;5;01/07/2019;False
00044850329;5;01/07/2016;False
00044850329;6;01/07/2017;False
00044850329;5;01/07/2018;False
00044850329;6;01/07/2019;False
00046240321;8;01/07/2016;False
00046240321;8;01/07/2017;False
00046240321;8;01/07/2018;False
00046240321;8;01/07/2019;False
00046250320;1;01/07/2016;False
00046250320;1;01/07/2017;False
00046250320;1;01/07/2018;False
00046250320;1;01/07/2019;False
00046260329;8;01/07/2016;False
00046260329;9;01/07/2017;False
00046260329;9;01/07/2018;False
00046260329;9;01/07/2019;False
00046280327;7;01/07/2016;False
00046280327;7;01/07/2017;False
00046280327;7;01/07/2018;False
00046280327;7;01/07/2019;False
00046320321;5;01/07/2016;False
00046320321;6;01/07/2017;False
00046320321;6;01/07/2018;False
00046320321;5;01/07/2019;False
00046470324;3;01/07/2016;False
00046470324;3;01/07/2017;False
00046470324;5;01/07/2018;False
00046470324;5;01/07/2019;False
00046720322;6;01/07/2016;False
00046720322;6;01/07/2017;False
00046720322;6;01/07/2018;False
00046720322;6;01/07/2019;False
00046760328;7;01/07/2016;False
00046760328;7;01/07/2017;False
00046760328;7;01/07/2018;False
00046760328;7;01/07/2019;False
00046830329;4;01/07/2016;False
00046830329;5;01/07/2017;False
00046830329;4;01/07/2018;False
00046830329;3;01/07/2019;False
00047080320;4;01/07/2016;False
00047080320;4;01/07/2017;False
00047080320;4;01/07/2018;False
00047080320;3;01/07/2019;False
00047110325;5;01/07/2016;False
00047110325;4;01/07/2017;False
00047110325;6;01/07/2018;False
00047110325;6;01/07/2019;False
00047170329;5;01/07/2016;False
00047170329;9;01/07/2017;False
00047170329;5;01/07/2018;False
00047170329;6;01/07/2019;False
00047200324;7;01/07/2016;False
00047200324;6;01/07/2017;False
00047200324;7;01/07/2018;False
00047200324;7;01/07/2019;False
00047510326;8;01/07/2016;False
00047510326;9;01/07/2017;False
00047510326;8;01/07/2018;False
00047510326;7;01/07/2019;False
00047600325;5;01/07/2016;False
00047600325;5;01/07/2017;False
00047600325;6;01/07/2018;False
00047600325;4;01/07/2019;False
00047680327;7;01/07/2016;False
00047680327;1;01/07/2017;False
00047680327;1;01/07/2018;False
00047680327;1;01/07/2019;False
00047820329;2;01/07/2016;False
00047820329;3;01/07/2017;False
00047820329;7;01/07/2018;False
00047820329;3;01/07/2019;False
00047860325;4;01/07/2016;False
00047860325;4;01/07/2017;False
00047860325;4;01/07/2018;False
00047860325;4;01/07/2019;False
00047900329;3;01/07/2016;False
00047900329;5;01/07/2017;False
00047900329;7;01/07/2018;False
00047900329;7;01/07/2019;False
00047910328;8;01/07/2016;False
00047910328;8;01/07/2017;False
00047910328;8;01/07/2018;False
00047910328;8;01/07/2019;False
00048020325;6;01/07/2016;False
00048020325;6;01/07/2017;False
00048020325;6;01/07/2018;False
00048020325;6;01/07/2019;False
00048130322;7;01/07/2016;False
00048130322;7;01/07/2017;False
00048130322;5;01/07/2018;False
00048130322;5;01/07/2019;False
00048170328;4;01/07/2016;False
00048170328;5;01/07/2017;False
00048170328;6;01/07/2018;False
00048170328;5;01/07/2019;False
00048180327;1;01/07/2016;False
00048180327;1;01/07/2017;False
00048180327;1;01/07/2018;False
00048180327;1;01/07/2019;False
00048230320;6;01/07/2016;False
00048230320;7;01/07/2017;False
00048230320;6;01/07/2018;False
00048230320;6;01/07/2019;False
00048280325;5;01/07/2016;False
00048280325;5;01/07/2017;False
00048280325;5;01/07/2018;False
00048280325;5;01/07/2019;False
00048310320;8;01/07/2016;False
00048310320;8;01/07/2017;False
00048310320;8;01/07/2018;False
00048310320;8;01/07/2019;False
00048440325;4;01/07/2016;False
00048440325;5;01/07/2017;False
00048440325;5;01/07/2018;False
00048440325;5;01/07/2019;False
00048480321;8;01/07/2016;False
00048480321;8;01/07/2017;False
00048480321;8;01/07/2018;False
00048480321;8;01/07/2019;False
00048510325;6;01/07/2016;False
00048510325;8;01/07/2017;False
00048510325;5;01/07/2018;False
00048510325;5;01/07/2019;False
00048540280;1;01/07/2016;False
00048540280;1;01/07/2017;False
00048540280;1;01/07/2018;False
00048540280;1;01/07/2019;False
00048570329;1;01/07/2016;False
00048570329;1;01/07/2017;False
00048570329;1;01/07/2018;False
00048570329;1;01/07/2019;False
00048580328;7;01/07/2016;False
00048580328;7;01/07/2017;False
00048580328;8;01/07/2018;False
00048580328;8;01/07/2019;False
00048630321;3;01/07/2016;False
00048630321;7;01/07/2017;False
00048630321;6;01/07/2018;False
00048630321;6;01/07/2019;False
00048700322;1;01/07/2016;False
00048700322;1;01/07/2017;False
00048700322;1;01/07/2018;False
00048700322;1;01/07/2019;False
00048750327;5;01/07/2016;False
00048750327;3;01/07/2017;False
00048750327;3;01/07/2018;False
00048750327;3;01/07/2019;False
00050090323;6;01/07/2016;False
00050090323;6;01/07/2017;False
00050090323;6;01/07/2018;False
00050090323;4;01/07/2019;False
00050100312;1;01/07/2016;False
00050100312;1;01/07/2017;False
00050100312;1;01/07/2018;False
00050100312;1;01/07/2019;False
00050150325;8;01/07/2019;False
00050230325;1;01/07/2016;False
00050230325;1;01/07/2017;False
00050230325;1;01/07/2018;False
00050230325;1;01/07/2019;False
00050550326;6;01/07/2016;False
00050550326;6;01/07/2017;False
00050550326;6;01/07/2018;False
00050550326;6;01/07/2019;False
00050630326;5;01/07/2016;False
00050630326;5;01/07/2017;False
00050630326;6;01/07/2018;False
00050630326;5;01/07/2019;False
00050760891;1;01/07/2019;False
00050800317;5;01/07/2016;False
00050800317;6;01/07/2017;False
00050800317;7;01/07/2018;False
00050800317;7;01/07/2019;False
00050830314;8;01/07/2016;False
00050830314;7;01/07/2017;False
00050830314;8;01/07/2018;False
00050830314;8;01/07/2019;False
00050950310;5;01/07/2016;False
00050950310;5;01/07/2017;False
00050950310;5;01/07/2018;False
00050950310;5;01/07/2019;False
00050970318;6;01/07/2016;False
00050970318;5;01/07/2017;False
00050970318;5;01/07/2018;False
00050970318;5;01/07/2019;False
00051020329;6;01/07/2016;True
00051020329;6;01/07/2017;True
00051020329;6;01/07/2018;True
00051020329;4;01/07/2019;False
00051060317;1;01/07/2016;False
00051060317;1;01/07/2017;False
00051060317;1;01/07/2018;False
00051060317;1;01/07/2019;False
00051080315;3;01/07/2016;False
00051080315;4;01/07/2017;False
00051080315;5;01/07/2018;False
00051080315;5;01/07/2019;False
00051080323;5;01/07/2016;False
00051080323;5;01/07/2017;False
00051080323;5;01/07/2018;False
00051080323;6;01/07/2019;False
00051120319;5;01/07/2016;False
00051120319;5;01/07/2017;False
00051120319;5;01/07/2018;False
00051120319;5;01/07/2019;False
00051150316;1;01/07/2016;False
00051150316;1;01/07/2017;False
00051150316;1;01/07/2018;False
00051150316;1;01/07/2019;False
00051190312;8;01/07/2016;False
00051190312;8;01/07/2017;False
00051190312;8;01/07/2018;False
00051190312;8;01/07/2019;False
00051210318;1;01/07/2016;False
00051210318;1;01/07/2017;False
00051210318;1;01/07/2018;False
00051210318;1;01/07/2019;False
00051260321;8;01/07/2016;False
00051260321;7;01/07/2017;False
00051260321;7;01/07/2018;False
00051260321;8;01/07/2019;False
00051290328;6;01/07/2016;False
00051290328;6;01/07/2017;False
00051290328;6;01/07/2018;False
00051290328;6;01/07/2019;False
00051340313;6;01/07/2016;False
00051340313;6;01/07/2017;False
00051340313;6;01/07/2018;False
00051340313;8;01/07/2019;False
00051350312;1;01/07/2016;False
00051350312;1;01/07/2017;False
00051350312;1;01/07/2018;False
00051350312;1;01/07/2019;False
00051390326;5;01/07/2016;False
00051390326;3;01/07/2017;False
00051390326;3;01/07/2018;False
00051390326;5;01/07/2019;False
00051410322;3;01/07/2016;False
00051410322;3;01/07/2017;False
00051410322;6;01/07/2018;False
00051410322;6;01/07/2019;False
00051560324;3;01/07/2016;False
00051560324;3;01/07/2017;False
00051560324;3;01/07/2018;False
00051560324;3;01/07/2019;False
00051570893;4;01/07/2016;True
00051570893;6;01/07/2017;True
00051570893;7;01/07/2018;True
00051570893;7;01/07/2019;True
00051580322;7;01/07/2016;True
00051580322;7;01/07/2017;True
00051580322;6;01/07/2018;True
00051580322;7;01/07/2019;True
00051610319;1;01/07/2016;False
00051610319;1;01/07/2017;False
00051610319;1;01/07/2018;False
00051610319;1;01/07/2019;False
00051660314;7;01/07/2016;False
00051660314;7;01/07/2017;False
00051660314;7;01/07/2018;False
00051660314;7;01/07/2019;False
00051670321;6;01/07/2016;False
00051670321;6;01/07/2017;False
00051670321;6;01/07/2018;False
00051670321;5;01/07/2019;False
00051790319;4;01/07/2016;False
00051790319;3;01/07/2017;False
00051790319;3;01/07/2018;False
00051790319;3;01/07/2019;False
00051860310;1;01/07/2016;False
00051860310;1;01/07/2017;False
00051860310;1;01/07/2018;False
00051860310;1;01/07/2019;False
